formula_id,formula_name,symbolic_form,primary_source,primary_source_line,status,observable_class,ligo_usable,restriction,authorization_level,supporting_sources,notes
F001,Xi_weak,Ξ_weak(r)=r_s/(2r),formula_compendium.md §B.1,"ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,SEGMENT_DENSITY,NO,direct LIGO use not applicable. Only enters via D(r)/s(r) in P_GW_SSZ and rdot_SSZ,PRIMARY_AXIOM,"ssz-segmented-spacetime skill §2; V54 CANONICAL; 06_PAPERS Papers #3,#17; prime_directive.md §3","LOCKED across all sources. g1 branch for r/r_s > 2.2."
F002,Xi_strong,Ξ_strong(r)=min(1−exp(−φ·r/r_s),Ξ_max),formula_compendium.md §B.1,"ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,SEGMENT_DENSITY,NO,direct LIGO use not applicable. Saturates at Xi_max for large r. Operative g2 branch for r/r_s < 1.8,PRIMARY_AXIOM,"ssz-segmented-spacetime skill §2; V54 CANONICAL; 06_PAPERS Papers #4,#16,#17","g2 saturation form. Xi_max = 1−e^(−φ) = 0.801711847."
F003,D(r),D_SSZ(r)=1/(1+Ξ(r)),formula_compendium.md §B.1,"ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,TIMELIKE_CLOCK,YES,D_min=0.55503 at r=r_s; D→1 for r→∞. Always use through Ξ regime selection,PRIMARY_AXIOM,"ssz-segmented-spacetime skill §§2,4; V54 CANONICAL; 06_PAPERS Papers #3,#8,#17,#23","Core SSZ metric component. Finite at horizon."
F004,s(r),s(r)=1+Ξ(r)=1/D(r),formula_compendium.md §B.1,"ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,SCALING_FACTOR,YES,Enters GW formulas via D²/s² and D²/s⁴,PRIMARY_AXIOM,"ssz-segmented-spacetime skill §2; V54 CANONICAL; RSG/phase documentation","Effective refractive index."
F005,Xi_sat,Xi_sat(r)=min(1−exp(−φ·r/r_s),Xi_max),"formula_compendium.md §B.1, GR_SSZ_INTERSECTION_PHI_DISCRETIZATION.md","ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,SEGMENT_DENSITY_SATURATION,NO,"Saturation form — NOT the operative g2. Used in metric-pure/paper-local comparison. Does NOT decay for r→∞.",PRIMARY_AXIOM,"ssz-complete-documentation/06_STRONG_FIELD/GR_SSZ_INTERSECTION_PHI_DISCRETIZATION.md","Algebraic dual to Xi_strong. Xi_B in phi-discretization. For x<2 only."
F006,r_s,Schwarzschild-Radius r_s=2GM/c²,formula_compendium.md §B.1,"ssz-complete-documentation/03_FORMULAS/formula_compendium.md",LOCKED_FINAL,PHYSICAL_CONSTANT,YES,"Standard definition. r_s=GM/c² is FORBIDDEN.",PRIMARY_AXIOM,"forbidden_formulas.md §5; all sources","Factor 2 is mandatory."
F007,P_GW_SSZ,P_GW_SSZ=P_GW_GR·D(r)²/s(r)²,"SSZ_BOOK_EN_PERFECTED.md Ch.31 Z.18696","E:\clone\book-full\05_OUTPUT\V7_BUILD\06_final_v7\SSZ_BOOK_EN_PERFECTED.md",AUTHORIZED_CH31,GW_QUADRUPOLE_POWER,YES,"Source equation for deltaA. Explicitly AUTHORIZED in Ch.31. Inspiral-only.",BOOK_AUTHORIZED,"delta_a_derivation.md; formula_compendium.md §B.4; ch31-authorization.md","Fundamental GW source equation in SSZ."
F008,rdot_SSZ,rdot_SSZ=rdot_GR·D(r)²/s(r)⁴=rdot_GR/s(r)⁶,"SSZ_BOOK_EN_PERFECTED.md Ch.31 Z.18700","E:\clone\book-full\05_OUTPUT\V7_BUILD\06_final_v7\SSZ_BOOK_EN_PERFECTED.md",AUTHORIZED_CH31,INSPIRAL_RATE,YES,"Source equation for deltaPsi. Explicitly AUTHORIZED in Ch.31.",BOOK_AUTHORIZED,"delta_psi_derivation.md; ch31-authorization.md","Inspiral rate modified by metric factors."
F009,deltaA,deltaA=D(r)²−1 ∈ (−1,0],"06_STRONG_FIELD/delta_a_derivation.md","ssz-complete-documentation/06_STRONG_FIELD/delta_a_derivation.md",DERIVED_V1,GW_AMPLITUDE,YES,"Amplitude suppression only. Derived algebraically from P_GW_SSZ (CH31 AUTHORIZED). h∝√(P) valid for inspiral only. Ringdown requires separate QNM derivation.",DERIVED_FROM_AUTHORIZED,"ch31-authorization.md; h_ssz_v0_derivation.md","deltaA_min=−0.692 at r=r_s. Weak-field: ≈−(r_s/2r)²."
F010,deltaPsi,deltaPsi_V0(f)=[Ω(r)/|rdot_GR|]·[(1+Ξ)⁶−1]·|dr/df|,"06_STRONG_FIELD/delta_psi_derivation.md","ssz-complete-documentation/06_STRONG_FIELD/delta_psi_derivation.md",DERIVED_V1,GW_PHASE,YES,"Derived from rdot_SSZ (CH31 AUTHORIZED) using Kepler-Approx (0PN Newtonian). Full RSG integral from Ch.31 Z.18677 (Hamilton-Jacobi) NOT yet implemented. BLOCKER: Ch.31 RSG phase integral not final.",DERIVED_FROM_AUTHORIZED,"ch31-authorization.md; h_ssz_v0_derivation.md","Kepler proxy r(f)=(GM/(πf)²)^(1/3). Weak-field: correction ~r_s/r → tiny."
