component,expected_implementation,actual_in_pipeline,status,action_taken,source_authorization
deltaA (amplitude correction),derived_amplitude.py (delta_a_ssz_v0),V0 proxy: dPsi-only kappa*(1-D(xi)) — NO deltaA,IMPLEMENTATION_MISMATCH,PATCHED: Pipeline Step D now calls derived_waveform.py which internally uses derived_amplitude.py,P_GW_SSZ Ch.31 Z.18696 → AUTHORIZED_CH31
deltaPsi (phase correction),derived_phase.py (delta_psi_ssz_v0),V0 proxy: 1.0*(1-D(xi_weak)) — xi_weak only,IMPLEMENTATION_MISMATCH,PATCHED: Pipeline Step D now calls derived_waveform.py which internally uses derived_phase.py,rdot_SSZ Ch.31 Z.18700 → AUTHORIZED_CH31
h_SSZ(f) (waveform construction),derived_waveform.py (apply_ssz_v0_to_frequency_waveform),Inline: h_ssz = h_gr * exp(1j*dpsi) — NO amplitude correction,IMPLEMENTATION_MISMATCH,PATCHED: Pipeline Step D now calls derived_waveform.py. Produces h_SSZ = h_GR*(1+dA)*exp(i*dPsi),constructed from deltaA + deltaPsi → DERIVED_V1
Xi branch (regime selection),ssz_core.py (get_xi with blend),Inline: xi_weak(r, rs) only — NO blend, NO g2 branch,PARTIAL_MISMATCH,PATCHED: derived_phase.py already uses get_xi() which includes blend zone via Hermite C²,formula_compendium.md §B.1 §B.2 → LOCKED_FINAL
kappa_phase (scaling factor),DERIVED (not free parameter),Hardcoded: kappa=1.0 locked,V0_FALLBACK_ONLY,PRESERVED: V0 proxy kept as fallback _step_D_v0_fallback with clear warning. DERIVED_V1 uses no free kappa — derives from (1+Xi)^6,delta_psi_derivation.md: (1+Xi)^6 factor is derived from rdot_SSZ
deltaA report label,SSZ_FORWARD_DERIVED_V1,SSZ_FORWARD_V0_PROXY,IMPLEMENTATION_MISMATCH,PATCHED: Report D now says SSZ_FORWARD_DERIVED_V1 with Ch.31 source references,FORMULA_AUTHORIZATION_TEST Phase 3
deltaPsi report label,SSZ_FORWARD_DERIVED_V1,SSZ_FORWARD_V0_PROXY,IMPLEMENTATION_MISMATCH,PATCHED: Blocked items now correctly cite HJ integral (Ch.31 Z.18677) not 'missing equation',FORMULA_AUTHORIZATION_TEST Phase 3
residual report label,SSZ DERIVED_V1,SSZ V0-proxy,IMPLEMENTATION_MISMATCH,PATCHED: Residual report now says 'SSZ DERIVED_V1 via derived_waveform.py',FORMULA_AUTHORIZATION_TEST Phase 3
epsilon_220,NOT USED (BLOCKED),NOT USED,IMPLEMENTATION_ALIGNED,No change needed — both correctly exclude epsilon_220. ssz_ringdown.py refuses to run.,BLOCKED_CONFLICT
merger phase,NOT IMPLEMENTED,NOT USED — 0PN TaylorF2 has no merger,IMPLEMENTATION_ALIGNED,No change. GR_CONTROL_TEMPLATE_LIMITED. Both pipeline and derived code are inspiral-only.,NEEDS_AUTHOR_REVIEW
ringdown,NOT IMPLEMENTED,NOT USED,IMPLEMENTATION_ALIGNED,No change. ssz_ringdown.py explicitly refuses. forward_model.py requires lock_epsilon_220 which is never called.,BLOCKED_CONFLICT
detector projection,detector_response.py (PLACEHOLDER 0.5),NOT USED in pipeline,IMPLEMENTATION_ALIGNED,No change. Both correctly avoid hardcoded F+/Fx. Pipeline treats H1 implicitly.,NEEDS_AUTHOR_REVIEW
twist/polarization,ssz_twist.py (DERIVED_V0_CONCEPTUAL),NOT USED,IMPLEMENTATION_ALIGNED,No change. Twist is conceptual. Neither pipeline nor derived_waveform uses it.,NEEDS_AUTHOR_REVIEW
source-to-detector propagation,NOT IMPLEMENTED,NOT USED,IMPLEMENTATION_ALIGNED,No change. Corrections applied at source r(f) only.,NEEDS_AUTHOR_REVIEW
