component,question,answer,status,gap_description,source_files
h_SSZ(f),Is this a complete strain-level forward model?,NO,SSZ_FORWARD_PARTIAL_DERIVED_V1,"Constructed as h_GR * (1+dA) * exp(i*dPsi). Applies scalar corrections to GR template. Not generated from first-principles SSZ metric.",derived_waveform.py; run_strain_pipeline.py Step D
h_SSZ(f),Is this inspiral-only?,YES,SSZ_FORWARD_PARTIAL_DERIVED_V1,"Both dA and dPsi use r(f) = (GM/(πf)²)^(1/3) — Newtonian Kepler proxy, valid only for inspiral. No ISCO cutoff, no merger transition.",derived_phase.py; derived_amplitude.py
h_SSZ(f),Does it include merger?,NO,SSZ_FORWARD_BLOCKED_BY_MISSING_DERIVATION,"0PN TaylorF2 template has no merger phase. No SSZ-specific merger model exists. The construction ends where the inspiral formula ends.",run_strain_pipeline.py Step C (GR_CONTROL_TEMPLATE_LIMITED)
h_SSZ(f),Does it include ringdown?,NO,SSZ_FORWARD_BLOCKED_BY_MISSING_DERIVATION,"epsilon_220 is BLOCKED_CONFLICT (3%/31%/39%). ssz_ringdown.py explicitly refuses to run. No QNM damping formula (eta_220) in corpus.",ssz_ringdown.py; epsilon_220_registry.py
h_SSZ(f),Is deltaPsi from Ch.31 Hamilton-Jacobi?,NO,SSZ_FORWARD_PARTIAL_DERIVED_V1,"V0 uses Kepler-Approx: dphi/dr = Omega/|rdot_GR| * [(1+Xi)^6−1] * |dr/df|. The authoritative HJ S_r(r) integral (Ch.31 Z.18677) is NOT implemented.",derived_phase.py; ssz_inspiral.py; ch31-authorization.md
h_SSZ(f),Is deltaA from Ch.31 P_GW_SSZ?,YES,SSZ_FORWARD_METHOD_ASSIGNED,"deltaA = D²−1 derived algebraically from P_GW_SSZ = P_GW_GR * D²/s² (Ch.31 Z.18696). Algebraic derivation is correct. However, h∝√(P) only valid for inspiral.",derived_amplitude.py; ch31-authorization.md
h_SSZ(f),Does it include detector antenna projection?,NO,SSZ_FORWARD_PARTIAL_DERIVED_V1,"Pipeline applies SSZ correction directly in frequency domain to strain data, comparing to GR control. No F+/Fx antenna pattern projection. detector_response.py exists but is not used in the main pipeline. H1-only implicitly assumes optimal orientation.",run_strain_pipeline.py Step D; detector_response.py
h_SSZ(f),Does it include propagation/twist?,NO,SSZ_FORWARD_PROXY_ONLY,"ssz_twist.py exists (DERIVED_V0_CONCEPTUAL). Twist angle is a placeholder: theta ~ Xi(r_char) * phi_geom with phi_geom=1.0. NOT derived from spin connection. NOT used in main pipeline.",ssz_twist.py
h_SSZ(f),Can it run as methodological test against H1?,YES,SSZ_FORWARD_PARTIAL_DERIVED_V1,"As a pipeline sanity check: apply corrections, compute delta_lnL, verify numerical stability. Marked SSZ_FORWARD_V0_PROXY in pipeline output.",run_strain_pipeline.py Step D
h_SSZ(f),Can it run claim-level against LIGO?,NO,SSZ_FORWARD_BLOCKED_BY_MISSING_DERIVATION,"Missing: full IMR template, HJ phase integral, epsilon_220, detector projection, PN corrections, multi-detector coherence, statistical background. Pipeline explicitly states READY_FOR_REAL_CLAIM: NO.",run_strain_pipeline.py Step E (mandatory statements)
h_SSZ(f),Can it run for H1/L1/V1?,NO,SSZ_FORWARD_PARTIAL_DERIVED_V1,"No multi-detector coherent analysis. No antenna patterns applied. Comparing scalar corrections to single-detector data only.","run_strain_pipeline.py (H1-only)"
h_SSZ(f),Is GR control adequate?,PARTIAL,SSZ_FORWARD_PARTIAL_DERIVED_V1,"TaylorF2 0PN only. No spin, no higher modes, no merger. Pipeline labels it GR_CONTROL_TEMPLATE_LIMITED. A stronger GR control is needed for meaningful comparison.",run_strain_pipeline.py Step C
deltaPsi_V0(f),Source authorization level?,AUTHORIZED_CH31_SOURCE,SSZ_FORWARD_METHOD_ASSIGNED,"rdot_SSZ (Ch.31 Z.18700) is AUTHORIZED. Derivation chain rdot_SSZ → (1+Xi)^6 factor → deltaPsi is algebraically correct. But only Kepler-Approx implemented, not HJ integral.",derived_phase.py; ch31-authorization.md
deltaPsi_V0(f),PN order?,0PN_NEWTONIAN,SSZ_FORWARD_PARTIAL_DERIVED_V1,"Uses Newtonian r(f), 0PN rdot_GR (Peters 1964), Newtonian Omega. No 1PN, 1.5PN, 2PN corrections.",derived_phase.py docstring
deltaA_V0(f),Source authorization level?,AUTHORIZED_CH31_SOURCE,SSZ_FORWARD_METHOD_ASSIGNED,"P_GW_SSZ (Ch.31 Z.18696) is AUTHORIZED. Derivation P_SSZ/P_GR → A_SSZ/A_GR → deltaA = D²−1 is algebraically correct. Valid for inspiral. Ringdown needs separate QNM derivation.",derived_amplitude.py; ch31-authorization.md
detector_projection,Is F+/Fx implemented?,PLACEHOLDER,SSZ_FORWARD_PROXY_ONLY,"detector_response.py exists with antenna_pattern_h1/l1 but returns hardcoded (0.5, 0.5). Not used in main pipeline. Real implementation needs full detector geometry + sky position.",detector_response.py
twist_polarization,Is twist derived from SSZ metric?,NO,SSZ_FORWARD_PROXY_ONLY,"Conceptual placeholder only. theta ~ Xi * phi_geom. Needs: Christoffel symbols from SSZ metric → spin connection → holonomy integral → SO(2) rotation angle. None of this is done.",ssz_twist.py
propagation,Is source-to-detector propagation modelled?,NO,SSZ_FORWARD_BLOCKED_BY_MISSING_DERIVATION,"Current model applies SSZ corrections at source only. The propagation through SSZ-modified spacetime from source to detector is not modelled. D(r) and s(r) corrections are applied at r(f) — the source orbital radius.",derived_waveform.py; derived_phase.py
